Expert Rating,ExpertNumber,Team,Vision,Product,Value of Token Sold in ICO,Status,Price in ICO,Price in ICO_1,Tokens for sale,Min. investment,Distributed in ICO,Soft cap,Hard cap
3.5,2,3.4,3.4,4,15200000,Ended,0.35,0.35,NA,35,60,1.50E+07,5.00E+07
3.6,3,4,3.7,3.5,8245440,Ended,0.0458,0.0458,2.50E+08,0.5,50,5000,18000
3.5,2,3.3,3.7,3.3,4.00E+06,Trading,0.058,0.058,NA,NA,NA,NA,1.80E+08
4,5,4.3,4.4,4.2,3800000,Trading,1.618,1.618,24157817,NA,618,NA,NA
3.2,4,2,3.3,3,10512361,Trading,1.76,1.76,6.00E+07,NA,60,NA,6.00E+07
4.1,4,4.7,4.7,4.7,1.50E+07,Trading,0.3,0.3,5.10E+07,NA,NA,NA,NA
3.5,0,NA,NA,NA,NA,Ended,0.0462,0.0462,NA,10,NA,NA,25000
3.9,30,4.3,4.2,3.7,5630000,Ended,1,1,NA,NA,93,NA,1.70E+07
3.7,0,NA,NA,NA,1753698,Ended,0.5,0.5,5.00E+07,NA,50,NA,2.50E+07
3,15,2.8,3.1,2.7,6.00E+06,Trading,0.03,0.03,1.68E+08,NA,70,NA,6.00E+06
3.5,3,4,3,2.4,2.00E+06,Ended,0.0226,0.0226,NA,NA,NA,NA,1.00E+05
3.9,25,4.4,3.8,3.6,1.50E+07,Ended,0.14,0.14,1.50E+08,NA,30,5.00E+06,1.50E+07
4,3,4.4,4.5,4.2,NA,Ended,0.4286,0.4286,39375354,NA,50,NA,78750
3.4,0,NA,NA,NA,18180,Ended,0,0,1.40E+10,0.01,70,200,700
3.9,18,4.3,3.9,4.1,2.00E+07,Trading,0.065,0.065,5.00E+08,0.2,60,NA,2.10E+07
3.5,1,3,4,4,2.60E+07,Ended,0.1,0.1,476228844,10,50,NA,4.50E+07
3.4,0,NA,NA,NA,1.00E+07,Trading,0.2399,0.2399,46800000,NA,NA,NA,40000
3.6,5,3.7,3.9,3.3,997703,Ended,0.987,0.987,64200000,NA,9729,NA,60000
2.9,1,3,1,1,4202372,Ended,0.15,0.15,1.20E+08,NA,50,7500000,1.60E+07
3.4,0,NA,NA,NA,6.00E+06,Ended,0.03,0.03,NA,NA,30,1.00E+08,1.05E+09
3.8,4,4.4,4.7,4.4,10233480,Ended,3,3,3.00E+06,0.5,30,1.00E+06,9.00E+06
3.5,1,4,4,3,NA,Ended,0.21,0.21,67100000,0.1,61,1800,1.10E+08
3.4,9,3,4.2,3.1,14627210,Trading,0.06,0.06,699500000,NA,70,3500,1.00E+05
4,4,4.7,4.8,4.5,NA,Ended,23.912,23.912,1.00E+06,1000,78,5.00E+05,2.00E+07
3,4,2.7,2.6,1.8,NA,Ended,0.01,0.01,NA,NA,60,5.00E+06,2.00E+07
3.5,2,4,4.3,3.3,118887,Ended,0.205,0.205,1.00E+09,NA,10,10000,1070000
3.6,7,4.3,3.6,3.2,6500000,Trading,0.0624,0.0624,4.00E+08,NA,40,2.00E+06,2.50E+07
3.8,1,5,4,5,68280620,Ended,0.05,0.05,1.01E+09,100,80,983733,71400000
3.3,2,2.5,3.5,2.5,NA,Ended,1.37,1.37,2.00E+08,0.2,70,NA,NA
3.4,0,NA,NA,NA,NA,Ended,0,0,5.00E+08,NA,5,NA,NA
3.5,1,4,4,4,3500000,Ended,0.5,0.5,7.00E+06,100,70,5.00E+05,3500000
3.4,0,NA,NA,NA,6.00E+06,Ended,0.2,0.2,1.00E+08,0.1,50,5.00E+06,3.40E+07
3.5,1,4,4,4,NA,Ended,0.1413,0.1413,2.10E+08,NA,70,5.00E+07,3.00E+08
3.5,0,NA,NA,NA,7500000,Trading,1.233,1.233,36900000,NA,41,2300000,1.50E+07
3.3,1,4,2,3,NA,Trading,0.0232,0.0232,NA,0.25,NA,NA,NA
3.4,0,NA,NA,NA,NA,Ended,0.5,0.5,1.20E+08,1000,8.45,NA,2.40E+07
3.6,1,5,5,4,2.00E+06,Ended,0.071,0.071,1.00E+08,NA,162,NA,12500
3.2,1,3,3,2,NA,Ended,0.04,0.04,5.00E+08,NA,50,3.00E+06,3.00E+07
3.4,0,NA,NA,NA,15200000,Ended,0.01,0.01,5.00E+08,1,5,3.00E+06,5.00E+06
3.6,4,3.7,3.8,3.8,5.00E+05,Ended,0.15,0.15,6.00E+07,NA,60,5.00E+05,7500000
3.6,3,3.2,4.6,3.6,865144,Ended,0.198,0.198,256250000,NA,80,500,174000
